Country Name,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Birth rate, crude (per 1,000 people)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Fertility rate, total (births per woman)",Individuals using the Internet (% of population),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Mortality rate, infant (per 1,000 live births)",People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),"Probability of dying among adolescents ages 10-14 years (per 1,000)","Probability of dying among adolescents ages 15-19 years (per 1,000)","Probability of dying among children ages 5-9 years (per 1,000)","Probability of dying among youth ages 20-24 years (per 1,000)",Rule of Law: Estimate,"School enrollment, preprimary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)",Urban population (% of total population),Urban population growth (annual %),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
Honduras,48.6,91.1,73.802,21.628,31.13848,47.97541,2.427,39.38835219,72.881,88.50743103,15.2,94.60684752,81.95255318,3.1,4.2,2.0,6.2,-1.026000142,39.7553215,66.24,25.45789909,57.73,2.784981233,40.011164,49.82062
Hungary,100.0,100.0,21.994,9.5,4.722263,63.18898,1.55,80.37169361,76.3195122,99.1,3.4,100.0,97.98613537,0.6,1.3,0.4,2.0,0.521550834,89.29873657,103.2610092,52.44464874,71.644,0.36454098,6.3430972,89.17212
Iceland,100.0,100.0,5.538,12.3,4.036541,78.49037,1.74,99.50494117,83.16341463,99.0,2.1,99.99999846,98.78110238,0.4,1.3,0.2,1.5,1.758809209,95.75475311,115.4449615,77.58883667,93.855,2.243618728,8.1255768,88.37971
India,63.3,95.88594055,17.701,17.049,41.38738,33.24341,2.109,29.52351142,70.91,74.37299347,28.3,91.56222114,69.66314609,2.6,3.9,2.1,5.5,-0.042569961,62.81083679,73.79296875,28.57289886,34.472,2.315801985,73.16057,24.54571
Indonesia,81.6,98.85,34.867,16.91,28.72393,48.97831,2.215,47.69064898,70.518,95.65856171,20.1,91.81374215,82.07270072,2.1,4.8,2.9,5.2,-0.323028594,62.34365845,88.91017151,36.31103897,55.985,2.123580212,48.24773,48.25441
"Iran, Islamic Rep.",96.7,100.0,33.325,15.118,16.97914,50.76744,1.77,72.45090477,76.103,85.5,11.6,97.32361287,90.02108734,1.8,4.6,1.7,5.3,-0.751262248,74.32594299,86.31,60.39419174,75.391,1.755664998,41.332378,55.03832
Iraq,99.0,99.99102783,65.122,28.078,20.05735,59.13751,3.604,44.32634655,71.576,85.6,22.1,97.77878522,97.86485327,2.8,4.3,2.7,5.3,-1.756373167,6.64,53.92,16.16,70.678,2.658858767,20.397642,77.51868
Ireland,100.0,100.0,5.796,12.0,4.434378,76.79764,1.71,87.00005524,82.70243902,99.0,2.9,96.00410448,89.30739082,0.4,0.9,0.3,1.5,1.376060009,97.26254272,138.091217,75.17993927,63.405,1.738924175,10.2071691,85.59658
Israel,100.0,100.0,8.12,20.1,0.9236776,82.01945,3.01,86.78787762,82.80487805,97.8,2.8,99.99999724,99.9420153,0.4,1.1,0.4,1.6,1.041254997,110.0609436,104.9737015,60.32519913,92.501,1.998758439,8.1546994,87.94727
Italy,100.0,100.0,3.878,7.0,3.890345,70.24281,1.27,67.85071029,83.49756098,99.34909821,2.6,99.91703407,99.88522401,0.4,0.9,0.3,1.4,0.29878071,92.94664001,101.1882629,66.0515976,70.736,-0.730852392,16.77288,77.25931
Jamaica,84.2,98.93030548,33.952,11.994,15.23063,68.58138,1.37,70.84101697,71.767,88.7,11.4,90.99735255,86.63160414,1.5,3.6,1.2,5.4,-0.287394255,76.23,85.35,27.13,55.985,0.625966781,35.9704065,60.45981
Japan,100.0,100.0,2.808,7.0,3.265643,72.48443,1.36,92.73039781,84.35634146,99.0,1.8,99.06231693,99.94652774,0.4,1.0,0.4,1.8,1.530416846,81.77,100.8712006,64.61711884,91.698,-0.051001491,8.214978,89.95451
Jordan,99.9,99.9,26.578,22.6,3.356185,78.2054,2.918,70.08467395,76.044,98.22711182,13.4,98.95136621,97.22148863,1.1,3.2,1.5,3.7,0.157012001,28.80941963,65.19397736,33.06087112,91.203,2.503414856,9.25759,87.60699
Kazakhstan,93.8,100.0,22.056,21.73,15.60106,63.77815,2.9,81.87762047,73.18,99.78163147,9.1,95.42702887,97.86969488,1.4,2.9,1.3,4.3,-0.490241528,62.48212051,113.2275314,61.74975967,57.54,1.48443982,22.4317716,76.15759
Kenya,19.5,69.7,69.578,28.46,33.58759,51.41155,3.469,22.66877336,62.943,81.53497314,29.7,60.86078326,35.29579479,4.4,6.3,5.2,10.0,-0.441785067,65.14385223,56.76,10.0383997,27.507,3.727770713,60.43766,37.99432
"Korea, Rep.",100.0,100.0,2.387,5.9,5.142991,70.27889,0.918,96.15757918,83.22682927,98.80000305,2.7,99.76579848,99.85401062,0.4,1.1,0.4,1.7,1.1873734,92.24433136,95.86534882,98.44618988,81.43,0.312269898,18.913039,75.43543
Kuwait,100.0,100.0,5.998,12.437,2.013586,72.99815,2.159,99.54267645,79.685,96.05647278,7.6,100.0,100.0,1.0,2.1,0.9,2.9,0.211396709,60.20027161,97.83,55.30754852,100.0,2.829852402,1.0776989,98.29272
Kyrgyz Republic,77.8,99.88467407,38.365,26.9,18.14366,55.1994,3.3,64.1,71.6,99.59999847,16.3,89.85880809,97.77771402,1.6,2.8,1.3,3.7,-0.895066559,39.90639114,96.36685181,42.32133865,36.591,2.745930809,32.677934,65.31596
Lao PDR,7.9,98.3973465,76.164,22.786,59.18631,30.61838,2.571,47.03225806,68.138,84.7,36.6,85.09983182,78.94809243,4.6,4.7,2.9,7.4,-0.95339942,48.45881653,65.76873016,14.45331192,35.645,3.310059924,77.50333,21.93546
Latvia,100.0,100.0,12.363,9.8,7.293753,68.98719,1.61,86.13545644,75.38780488,99.88931274,3.4,98.73825457,92.41312527,0.5,2.3,0.6,3.6,1.007672429,94.67523956,107.6024628,94.86453247,68.222,-0.57788598,7.4937972,88.41531
Lebanon,100.0,99.95048523,20.896,15.822,3.823768,75.69692,2.13,79.7588832,79.236,95.30000305,7.4,92.6,99.06737938,1.0,2.5,1.0,3.0,-0.834570825,54.26,61.2,26.26,88.758,-2.69379833,29.890898,60.68892
Lesotho,39.6,44.56339645,91.187,26.839,29.83415,35.79121,3.094,42.30173357,54.173,79.4,60.0,72.87737521,48.42792471,4.0,10.4,4.8,17.5,-0.404333413,33.04660797,64.08023834,10.19626045,28.585,2.774465325,52.3859,44.61071
Liberia,0.4,23.1,128.605,32.181,40.71477,51.34789,4.257,23.48259047,61.104,48.3,59.6,74.1609603,20.76197361,8.0,13.0,9.7,15.7,-0.986838162,125.18,37.9,11.92,51.615,2.845409339,77.676716,20.90251
Libya,100.0,68.47289276,7.054,18.732,16.93514,64.58253,2.539,22.0,72.463,91.0,9.9,99.8915238,92.10600221,1.6,2.8,1.3,3.3,-1.747566581,9.82,97.9,60.5,80.393,1.762139685,28.473819,68.56792
Lithuania,100.0,100.0,10.588,9.8,6.436174,67.8641,1.61,81.58186838,76.28292683,99.8,3.1,98.00147289,93.76832523,0.8,2.2,0.7,3.4,1.016596913,88.83183289,108.4455109,72.00897217,67.855,-0.004957782,9.0895559,88.34303
Luxembourg,100.0,100.0,4.306,10.0,0.6816368,88.50644,1.34,97.12063569,82.63902439,100.0,2.3,99.87670462,97.59426285,0.2,1.2,0.2,1.1,1.785245538,91.49434662,104.6953888,18.43000031,91.223,2.228565739,5.4655049,91.26217
Madagascar,1.2,31.04,123.263,31.701,74.18972,15.76753,3.978,11.83136182,65.882,76.67967987,45.3,51.17220614,13.16933715,7.7,10.9,12.7,12.1,-0.996893346,40.14992142,34.59550095,5.350490093,37.861,4.31079477,84.0082,11.51257
Malawi,1.8,11.2,121.406,33.598,62.39201,29.8276,4.072,13.43919985,64.119,62.1,33.0,69.46487563,42.80383781,5.2,7.5,7.7,11.6,-0.338825971,83.58,37.08491135,1.723629951,17.174,4.072457958,60.285059,38.36972
Malaysia,94.9,100.0,9.353,15.58,10.2274,62.27414,1.834,84.18714501,75.76,94.97113037,6.7,97.09036742,95.88023365,1.2,2.6,1.0,3.3,0.515538275,98.06482697,83.74816132,43.06160736,76.607,1.989669393,21.907987,74.424
Maldives,99.3,100.0,8.02,15.001,10.00217,65.12441,1.736,77.46966424,80.116,97.7,6.0,99.52720781,98.26842792,0.9,2.2,0.7,1.6,-0.395875484,85.9586792,81.32687378,34.12194061,40.238,4.041588631,18.687121,77.98035
Mali,0.9,47.85478973,153.834,42.376,65.66985,26.01929,6.103,22.31109004,59.664,35.47377014,64.4,79.27971511,44.79769672,8.7,10.0,13.7,12.0,-0.846366882,6.960790157,41.0272789,4.904735565,43.136,4.951455588,79.91068,19.48547
Malta,100.0,100.0,11.384,8.6,1.011574,79.95738,1.14,85.77859638,82.85853659,94.50318909,5.3,100.0,99.96449882,0.6,1.0,0.3,1.3,0.946133077,111.0367126,108.0291824,64.87290955,94.678,4.001157807,10.8856616,84.30946
Mauritania,47.2,44.94792938,79.489,33.723,30.64142,51.30194,4.521,42.32068274,65.687,53.5,33.8,72.54431314,49.5893945,3.7,6.8,5.0,7.7,-0.590795577,10.49,39.40896988,5.763249874,54.507,4.158421052,52.395252,43.56428
Mauritius,98.8,100.0,24.31,10.2,5.584274,70.47742,1.4,61.72995515,74.23585366,91.3,14.5,99.96219872,95.5,1.0,3.1,0.8,4.8,0.720553696,97.78929138,97.12110138,44.39152908,40.766,-0.034096699,16.651332,80.14405
Mexico,84.6,99.6,58.391,15.71,12.30098,61.96383,1.916,69.63210927,74.202,95.37991333,12.2,99.11535302,90.77655807,1.4,4.3,1.1,7.1,-0.646010876,70.96864319,104.6472397,42.83069992,80.444,1.21892136,27.160677,68.05427
Moldova,97.2,100.0,28.975,12.894,39.38083,45.00512,1.78,57.76048611,70.935,99.4,12.7,90.69568696,82.9898264,1.4,2.9,1.1,4.1,-0.427145123,93.9368515,109.0824127,56.27151108,42.726,-1.373098345,21.82499,77.76472
Mongolia,49.9,98.92325592,31.077,23.292,27.81512,51.3319,2.937,51.07999408,71.822,99.0,13.8,81.4356126,67.79233961,1.9,3.4,1.6,4.3,-0.236219063,86.33180237,91.50335693,64.47367859,68.543,2.283036384,47.056395,51.50948
